queue,priority,language,subcategory,subject,text
SOFTWARE,HIGH,EN,HubSpot CRM,URGENT – HubSpot CRM access issue,"Dear Support Team,
I am experiencing an urgent issue with my HubSpot CRM account: I can’t access it at all, and I’m getting an authorization error. This problem is severely disrupting my sales operations as I have critical client records and ongoing campaigns that I need immediate access to. I have already tried resetting my password and clearing my browser cache, to no avail. Please assist me immediately, as any further downtime could affect my business."
ACCOUNTING,MEDIUM,EN,Customer Inquiries::Feedback,Invoice request for recent transaction,"Dear Support Team, Could you please send me an invoice for my latest purchase? I made a transaction last week and haven't received the invoice yet. My customer number is 874923. Thanks in advance for your assistance. Best regards."
SOFTWARE,HIGH,ES,Tableau Desktop 2021.2,Tableau Desktop 2021.2 – No se puede iniciar,"Hola equipo de soporte, no puedo iniciar mi Tableau Desktop 2021.2 y lo necesito urgentemente para una presentación crítica mañana. He intentado reiniciar el equipo y reinstalar el software sin éxito. Por favor, ayuda urgente."
SOFTWARE,HIGH,EN,Atspace,Critical: Cannot Access Atspace Server - Immediate Assistance Required,"Hello, I urgently need help to restart my Atspace service as it is down, and I can’t access it for my work. Any suggestions for a quick fix?"
ACCOUNTING,MEDIUM,EN,Employee Inquiries::IT Support::Access Rights,Requested Update and Invoice,"Dear Support, I experienced a bug in the current version of your software and need an update. Additionally, I require the invoice for the latest transaction. Please assist."
ACCOUNTING,HIGH,EN,Employee Inquiries::IT Support,Urgent Help - Accounting Software Access Issue,"Dear Support Team,
My account has been locked and I cannot access our main accounting software. This is critical for my daily operations and I need urgent access to generate invoices for our clients. Can you please help me resolve this as soon as possible?
Best regards,
John
Account ID: 78451"
SOFTWARE,LOW,ES,LearnDash,Cambio menor en la próxima factura,"Hola Equipo de Soporte, Espero que estén bien. Me gustaría solicitar un pequeño cambio en mi próxima factura de la herramienta LearnDash: por favor, incluyan 'Grupo Digital S.A.' en lugar de 'Digital SA'. También, me pregunto si sería posible recibir alguna cotización actualizada de los servicios adicionales para mis futuros proyectos. No es urgente, tómense su tiempo. ¡Muchas gracias por su ayuda! Atentamente, Miguel"
SOFTWARE,HIGH,EN,Zabbix,Urgent: Zabbix 5.2 Not Starting - Critical Services Down,"Our monitoring system Zabbix 5.2 crashed after the latest security update. It won't restart, leaving us blind to critical alerts. Immediate assistance is needed to restore functionality. Customer ID: 7654321."
ACCOUNTING,HIGH,FR,Customer Inquiries::Technical Support,Accès Invalide UR Formulaire Re132,"Bonjour, Mon accès UR est invalide à cause d'une mise à jour de sécurité récente. C'est critique pour mes rapports financiers mensuels, pouvez-vous aider rapidement? Code client: 99833-TH245."
ACCOUNTING,MEDIUM,FR,Customer Inquiries::Praise,Problème de réponse par e-mail,"Bonjour, je suis un client depuis longtemps et je trouve très intéressant vos produits. Récemment, j'ai envoyé des emails mais je n'ai pas eu de réponse. Pourriez-vous vérifier pourquoi cela se passe? Merci d'avance!"
SOFTWARE,HIGH,DE,Udemy,Dringende Sicherheitsanfälligkeit – Udemy Software Update erforderlich,"Sehr geehrtes Support-Team, ich habe eine ernstzunehmende Sicherheitslücke in der Udemy-Software festgestellt, die es Angreifern ermöglicht, auf Benutzerdaten zuzugreifen. Aufgrund des hohen Risikos bitte ich um ein sofortiges Sicherheitsupdate, da unsere Daten gefährdet sind. Beste Grüße, ein besorgter Nutzer."
ACCOUNTING,HIGH,DE,Customer Inquiries::Feedback,Dringend: Sicherheits-Update erforderlich,Ich habe eine kritische Sicherheitslücke in der neuesten Version entdeckt. Kann ich hierzu ein Update erhalten? Es betrifft unsere Lizenzen. Benötige schnell Hilfe.
SOFTWARE,HIGH,EN,Route Planning,Route Planning software - Critical Error: Application won’t start,"Dear Support Team, I am unable to launch my Route Planning software, which I rely on daily. The application crashes every time I attempt to open it. As a logistics planner, I urgently need this software for my day-to-day tasks. Please resolve this issue as soon as possible. Thank you."
ACCOUNTING,LOW,DE,Customer Inquiries::Security Inquiries,Änderung Firmenname in Rechnung,"Hallo, könnte bei zukünftigen Rechnungen statt 'Max Mustermann GmbH' der neue Firmenname 'Mustermann & Co. KG' verwendet werden?"
SOFTWARE,MEDIUM,ES,GPS Tracking,Problema con el software GPS Tracking - Necesito actualización,"Hola, necesito actualizar mi software GPS Tracking a la última versión ya que he encontrado un bug. Además, he enviado tres correos y no he recibido respuesta. Por favor, ayúdenme."
HARDWARE,HIGH,ES,Smart-Thermometer,Smart-Thermometer no enciende – Necesito ayuda urgente,"Hola equipo de soporte, mi smart-thermometer no se enciende desde ayer y lo necesito urgentemente para monitorizar la temperatura de mi cuarto servidor. He probado diferentes tomas de corriente y sigue sin funcionar. Agradecería una solución rápida, mi cliente está muy preocupado por esta situación."
ACCOUNTING,LOW,FR,Employee Inquiries::General::HR Questions,Modification petite facture,"Bonjour, pourrais-je modifier une petite ligne sur une facture? Si possible, pas pressé. Merci beaucoup pour votre collaboration."
SOFTWARE,LOW,DE,NetSuite,NetSuite Update-Anfrage,"Guten Tag Support-Team, ich hoffe euch geht es gut. Zurzeit benutze ich NetSuite bei uns im Unternehmen und überlege, ein mögliches Update vorzunehmen. Könntet ihr mir bitte mitteilen, welche neuen Features in der jüngsten Version enthalten sind und ob uns vertiefende Schulungen angeboten werden können? Es eilt jedoch nicht, rein informativ. Viele Grüße, Martin"
HARDWARE,HIGH,ES,Intel Optane Memory H10,"Urgente: Problema con Intel Optane Memory H10, no enciende","Hola equipo de soporte. Desde esta mañana, mi sistema con Intel Optane Memory H10 no enciende. He reiniciado y probado varias soluciones pero nada funciona. Necesito mi equipo para trabajar urgente, ¿podrían decirme cuál podría ser el problema o enviar instrucciones para solucionarlo? ¡Gracias de antemano!"
SOFTWARE,MEDIUM,EN,Machine Learning Framework,Update Request for ML Framework,Could you please provide an update for the Machine Learning Framework? I've noticed a bug.
SOFTWARE,HIGH,EN,Litigation Support,URGENT: Litigation Support Software - Unable to Access After Update,I updated my Litigation Support software and now can't access any files. Need urgent help to resolve this issue.
SOFTWARE,LOW,EN,ClickUp,Change request for next invoice and ClickUp update inquiry,"Hello ClickUp Support Team,
Great work on maintaining such a helpful tool! I'm reaching out without any urgency. Could you let me know if it's possible to address my next invoice to 'NuCom Ventures' instead of 'NuCom Ltd.'?
Also, I've been using ClickUp for a while and am open to any useful updates that you might suggest for enhanced functionality.
Thanks and keep up the excellent performance!"
SOFTWARE,HIGH,ES,ActiveMQ,Problema urgente con Apache ActiveMQ - Fallo de arranque,"Hola equipo de soporte, tengo un problema urgente con nuestra instancia de Apache ActiveMQ. No se inicia y necesitamos esta herramienta para nuestras operaciones diarias críticas. He intentado reiniciar el servidor varias veces, sin éxito. Requiero asistencia inmediata para resolver este problema lo antes posible. Adicionalmente intentamos: reinstalacion. Muchas gracias."
SOFTWARE,LOW,EN,Outlook,Request for Potential Minor Update - Outlook Software,I have been using Outlook and it's been great. Just wondering if there might be a minor update available soon that could enhance a few features?
ACCOUNTING,MEDIUM,FR,Employee Inquiries::Staff Development,Demande de développement du personnel,"Bonjour, j'aimerais savoir si vous proposez des formations pour le développement de notre personnel. Nous avons remarqué quelques problèmes avec notre logiciel actuel et souhaiterions également obtenir des offres pour une mise à jour. Pouvez-vous nous fournir un devis ? Merci."
SOFTWARE,HIGH,EN,Geofencing,"URGENT: Geofencing App - Cannot Login, Critical Issue","Hello team, I am unable to log into my Geofencing app despite entering correct credentials. This is urgent as my tracking activities are compromised. Need help immediately! ID: 32098476"
ACCOUNTING,MEDIUM,ES,Employee Inquiries::General,Solicitud de actualización de software y problema menor reportado,"Hola, soy un cliente nuevo y necesito una actualización de la versión de software actual. Además, quisiera informar de un pequeño error que encontré y solicitar una cotización para un proyecto de desarrollo de software personalizado. Agradezco la pronta respuesta."
SOFTWARE,HIGH,ES,Windows 11,Windows 11 no enciende después de actualización crítica,Para uso urgentemente para mi trabajo. ¿Cómo puedo solucionar esto?
HARDWARE,MEDIUM,EN,Palo Alto Networks PA-220,Issue with Palo Alto Networks PA-220 - Slow Performance,"Hi Support Team, I'm using a Palo Alto Networks PA-220, and I've noticed that it's been performing slowly recently. I've tried rebooting the device, but that hasn't helped. Could you please check if there's any known issue or update for this device?"
SOFTWARE,HIGH,FR,Hosting24,Problème Urgent - Logiciel Hosting24 ne fonctionne pas,"Bonjour, j'ai un problème critique avec le logiciel Hosting24. Il s'agit de mon outil principal pour gérer les serveurs de mes clients et il ne se lance plus depuis ce matin. J'ai besoin de votre aide de toute urgence car mes opérations commerciales sont actuellement paralysées. S'il vous plaît, répondez rapidement. Merci d'avance."
ACCOUNTING,LOW,EN,Employee Inquiries::Staff Development::Career Counseling,Invoice Alignment: Minor Adjustments,"Dear Support Team,

I'd like to know if it’s possible to have our company name slightly adjusted on our next invoice. It’s currently a minor detail, but it would be more aligned with our records. Also, we're contemplating an update for our system soon; it's not urgent, but perhaps you could suggest a good timeline?

Lastly, kudos on the great support; keep it up!

Best regards,
[Customer Name]"
SOFTWARE,MEDIUM,EN,Apache Cassandra,Apache Cassandra: Upgrade request and identified bug,I noticed a bug while using Apache Cassandra and would like to request an upgrade to the latest version as soon as possible. Thanks!
HARDWARE,MEDIUM,ES,Smart-Reiskocher,Problema con Smart-Reikocher: Error de software,"Hola, siento molestarles pero he notado un pequeño error con mi Smart-Reiskocher. Parece que no se conecta bien con la aplicación del móvil. Necesito una actualización de software lo antes posible. Les agradecería una explicación del problema y cómo proceder. Muchas gracias."
SOFTWARE,HIGH,EN,Bitdefender Antivirus Plus,URGENT: Bitdefender Antivirus Plus Not Working - System May Be Hacked,"Hello Support, I believe my system may have been hacked. My Bitdefender Antivirus Plus stopped functioning, and I can no longer run security scans. I urgently need this software operational to check for potential security breaches. Please assist me immediately in resolving this issue, as I am concerned about my data's safety."
SOFTWARE,LOW,EN,LinkedIn Campaign Manager,Question about Software Update for LinkedIn Campaign Manager,"Hi, I've been using LinkedIn Campaign Manager and wondered if maybe a software update is available? Not urgent, but want to ensure I'm up-to-date."
SOFTWARE,MEDIUM,EN,Transaction Monitoring,Complaint regarding Transaction Monitoring Emails,"Hi Support Team, recently I've noticed that my Transaction Monitoring software has a bug. Additionally, my previous emails regarding this issue haven't been answered. Can you please look into why my emails are being ignored and provide an update on the bug fix? I am also preparing to renew my subscription soon. Thanks for your help."
HARDWARE,HIGH,EN,Gaming-Headset,Urgent: Gaming-Headset won't power on,"Hi Support, I just received my new gaming headset, but it won’t turn on. I’ve tried different USB ports and cables, nothing works. This is critical as I work remotely and need it every day. Please help!"
SOFTWARE,HIGH,DE,Asset Tracking,Dringend - Asset Tracking Software gesperrt,"Hallo, seit heute Morgen kann ich unsere Asset Tracking Software nicht mehr nutzen. Bitte um sofortige Hilfe, da wir davon abhängen. Besten Dank!"
SOFTWARE,HIGH,EN,Options Trading,Security Alert: Critical vulnerability in Options Trading Software,"Hello team, I discovered a critical security vulnerability in your Options Trading software exposing sensitive data. Immediate action required as it risks compromising user accounts. Please advise on a security patch update urgently."
SOFTWARE,MEDIUM,DE,Skype,Update-Antrag für Skype-Arbeitssoftware,"Wir nutzen Skype als zentrale Arbeitssoftware und benötigen ein Update auf die neueste Version. Zudem sind uns kleinere Bugs aufgefallen, die unser Arbeitspensum beeinträchtigen. Können Sie uns bitte mitteilen, wie wir einen zeitnahen System-Upgrade durchführen können?"
SOFTWARE,MEDIUM,ES,UK2,Solicitud de actualización urgente para UK2,"Hola, he identificado un error en la versión actual de UK2. Podrían proporcionarme una actualización a la última versión. Gracias."
SOFTWARE,MEDIUM,DE,eUKhost,Anfrage: Update auf neue Version von eUKhost,"Hallo Support, ich nutze aktuell eUKhost und bin auf ein paar Bugs gestoßen, die meine Arbeit etwas behindern. Besteht die Möglichkeit, meine Software auf die neueste Version zu aktualisieren? Zudem habe ich weiterhin ein kleines Problem: Mein Kalender synchronisiert nicht richtig. Könnten Sie bitte auch das überprüfen? Vielen Dank und liebe Grüße!"
ACCOUNTING,MEDIUM,DE,Employee Inquiries::Legal Inquiries::Labor Law,Angebot zur Softwareentwicklung Anequiry für neues Cloud-Tool,"Liebes Softoft-Team,
wir sind an einem Angebot für die Entwicklung eines neuen Cloud-Tools interessiert. Unser Ziel ist es, die Arbeitsprozesse in unserer Buchhaltungsabteilung zu vereinfachen. Auch mögliche Rechtsfragen im Zusammenhang mit dem Arbeitsrecht müssten berücksichtigt werden. Bitte schicken Sie uns ein ausführliches Angebot.Geht das?"
HARDWARE,MEDIUM,ES,TP-Link 16-Port Switch,TP-Link 16-Port Switch Problem de rendimiento,"Hola equipo de soporte, He notado un pequeño problema con mi TP-Link 16-Port Switch, donde la velocidad de transferencia parece inestable. ¿Pueden ayudarme a resolver esto?"
SOFTWARE,LOW,EN,Google Cloud Platform,Small Issue with Google Cloud Platform,"Hello, I noticed a minor bug in Google Cloud Platform we use. It's not urgent, but a fix when possible would be great!"
HARDWARE,HIGH,EN,Brother HL-L8360CDW,URGENT: Brother HL-L8360CDW won't start up,"Hi Support, I urgently need help. My Brother HL-L8360CDW printer isn’t starting up. This is a critical issue as I need it for daily business operations. No lights are coming on and I've tried all troubleshooting steps. Please assist as soon as possible. Much appreciated!"
ACCOUNTING,LOW,DE,Customer Inquiries::Orders,Rechnungsdetails Prüfen / Update Anfrage,"Liebes Team, ich würde auf meiner nächsten Rechnung gerne den Firmennamen zu 'Müller Enterprise' ändern lassen. Des Weiteren überlege ich, meinem System ein Update zu gönnen. Danke vorab."
SOFTWARE,HIGH,DE,Credit Management,Kritischer Fehler bei Credit Management – DRINGEND,"Sehr geehrte Damen und Herren, unser Credit-Management-System ist heute plötzlich ausgefallen. Beim Öffnen zeigt es nur noch einen Fehlercode an (E542). Da wir tagtäglich mit sensiblen Kundendaten arbeiten, benötigen wir sofortige Unterstützung. Können Sie sich unverzüglich diesem Problem annehmen? Herzlichen Dank, Max Weber, Kunden-Nr.: 74820"
SOFTWARE,MEDIUM,ES,Slack,Problema con Slack al intentar actualizar la versión,"Hola, en mi empresa usamos la versión antigua de Slack y quiero actualizarla a la última versión disponible. Noté un bug recurrente que causa desfase en las notificaciones. Además, me he comunicado anteriormente sobre este problema y no he recibido respuesta. ¿Podrían proporcionarnos soporte para solucionar esto?"
HARDWARE,MEDIUM,DE,RAID-Controller,Probleme mit RAID-Controller - Fehler feststellen,"Sehr geehrtes Support-Team, ich benutze einen Ihrer RAID-Controller und habe bemerkt, dass mein System zufällig einfriert. Eine Analyse ergibt keine offensichtlichen Gründe. Könnte dies an einem Fehler der Hardware liegen? Bitte helfen Sie mir weiter."
HARDWARE,HIGH,EN,EVGA SuperNOVA 750 G5,Urgent: EVGA SuperNOVA 750 G5 won't power on,"My EVGA SuperNOVA 750 G5 fails to power on, please help urgently!"
SOFTWARE,HIGH,EN,Web Browser,Urgent: Web Browser Security Issue,"Hello Support Team, I found a severe security vulnerability in my browser that puts my data at risk. This is urgent as I rely on it for my daily work. Please assist swiftly!"
ACCOUNTING,MEDIUM,ES,Employee Inquiries::Accounting::Accounting Policies,Solicitud de actualización de software y política contable,"Hola, ¿Podrían enviarme un presupuesto para la actualización de nuestro software contable a la versión más reciente? También tengo algunas preguntas sobre las políticas contables."
HARDWARE,LOW,EN,External Hard Drive,Request for Minor Update on External Hard Drive,"Hi Support Team, I've noticed that my external hard drive occasionally has minor delays when accessing files. It's not urgent, but could a firmware update help by chance? Additionally, I was wondering if a future invoice could reflect the name of my new company, BrightTech. Thanks!"
SOFTWARE,LOW,DE,Google Chrome,Update für Google Chrome?,"Guten Tag, kann ich ein Chrome Update erhalten?"
SOFTWARE,MEDIUM,EN,IoT Security,Bug noticed in IoT Security,I spotted a bug in my IoT Security software. Can I get an update for bug fix? Thanks.
SOFTWARE,HIGH,ES,Electrum,Electrum no arranca después de un update,"Hola equipo de soporte, Electrum no arranca tras el último update. Necesito urgente acceder para una transacción importante. ¡Ayuda!"
SOFTWARE,HIGH,EN,NEC,Urgent: NEC Software Crashes and Won't Restart,"Hello Support, my critical NEC software is continuously crashing and won't restart. I need the software operational ASAP as it's crucial for upcoming project deadlines. Attempts to reinstall have failed and our operations are at a standstill. Any immediate help would be greatly appreciated. URGENT."
SOFTWARE,MEDIUM,DE,Actuarial Software,Actuarial Software Update und Bug,"Guten Tag Team, ich benötige ein Update für meine Actuarial Software auf die neueste Version. Mir ist zudem ein kleiner Bug aufgefallen: Die Rechenfunktion scheint manchmal falsche Werte zu liefern. Können Sie das bitte überprüfen und zeitnah beheben?"
SOFTWARE,HIGH,FR,NVIDIA CUDA Toolkit,Problème urgent avec NVIDIA CUDA Toolkit,"Bonjour, mon système crash lorsqu'on utilise NVIDIA CUDA Toolkit. Cet outil m'est indispensable pour mon travail. Pouvez-vous m'assister rapidemnt?"
SOFTWARE,HIGH,DE,Toshiba,Sicherheitslücke in Toshiba-Software zwingend zu schließen,Dringlichkeit! In Ihrer Toshiba-Software haben wir eine gefährliche Sicherheitslücke entdeckt. Bitte das erforderliche Security Update umgehend bereitstellen!
SOFTWARE,MEDIUM,DE,Blockchain Platform,"Anfrage zu Update, Bug und Angebot",Kann ich ein Update für die Blockchain Platform erhalten? Ein Bug stört den Betrieb. Auch Interesse an einem Angebot für eine Entwicklung.
SOFTWARE,LOW,EN,Dash,Can I get a quote for Dash?,"I might need a quote for Dash's premium version, no rush. Please let me know your offer."
SOFTWARE,HIGH,DE,MOOCs,Dringend! MOOCs 2.1 lässt sich nicht mehr starten,"Sehr geehrtes Support-Team, nach dem gestrigen Update von MOOCs 2.1 lässt sich die Software nicht mehr starten. Aktuell können wir keine Webinare hosten, was unseren laufenden Kursen enorm schadet. Könnten Sie uns umgehend helfen?"
SOFTWARE,HIGH,DE,TYPO3,Sicherheitslücke bei TYPO3 erkannt – Sofortiges Update nötig,"Sehr geehrtes Support-Team,
wir haben in unserer TYPO3-Installation eine kritische Sicherheitslücke entdeckt, die sofort behoben werden muss, um die Datensicherheit zu gewährleisten. Unsere Webseite läuft auf Version 10.4 und ist für unsere Kunden essentiell. Können Sie uns bitte dringend ein entsprechendes Security-Update bereitstellen und bei der Installation unterstützen? Wir warten auf Ihre schnelle Rückmeldung."
SOFTWARE,MEDIUM,EN,Stellar,Bug when Updating to Stellar 3.5,I've noticed a minor bug while updating to Stellar 3.5. Some features are not working as expected. Please advise.
SOFTWARE,HIGH,EN,VLC Media Player,Urgent: VLC Media Player Security vulnerability discovered,"Hi Support,
I'm facing a critical issue with the VLC Media Player. I've discovered a security vulnerability that poses serious risks to data integrity and privacy. Immediate assistance is required to patch this vulnerability as it's crucial for our service. Awaiting your swift response.
Thank you,
Customer ID: 5873981"
HARDWARE,LOW,FR,Smart-Glukosemesser,Petite modification sur la facture du Glucosemètre,"Salut l'équipe. Positives Feedback concernant le Smart-Glukosemesser. Est-il possible d'indiquer le nom de notre entreprise sur la prochaine facture? Ce n'est pas urgent, je vous remercie!"
HARDWARE,HIGH,EN,Motorola LS2208,"Motorola LS2208 not powering on, urgent",My Motorola LS2208 barcode scanner won't power on. I've tried swapping batteries and checking all connections but nothing works. I urgently need it functional for our daily operations. Please assist immediately!
HARDWARE,HIGH,EN,Smart Toothbrush,Smart Toothbrush not turning on,My Smart Toothbrush won't turn on after updates. I need immediate assistance.
SOFTWARE,HIGH,DE,Cardano,Sicherheitsproblem - Dringender Updatebedarf für Cardano,"Hallo Support-Team, ich habe eine kritische Sicherheitslücke in der Software Cardano entdeckt und benötige dringend ein Update, da unser gesamtes Netzwerk gefährdet sein könnte. Bitte um schnelle Antwort."
HARDWARE,LOW,ES,Baby Monitor,Solicitud de actualización y duda con la factura - Monitor Bebé,"Hola equipo de soporte, quiero agradecer por el excelente servicio hasta ahora. Tengo una pequeña solicitud: ¿podrían agregar el nombre de mi empresa "
SOFTWARE,HIGH,ES,Adobe Experience Manager Admin Console,Adobe Experience Manager Admin Console – No puedo iniciar sesión,"Hola, desde ayer no puedo iniciar sesión en la consola de administración de Adobe Experience Manager. Necesito arreglar esto urgentemente ya que nuestro trabajo depende de esta plataforma. Ayuda por favor, específicamente el error dice que las credenciales son incorrectas. Gracias."
SOFTWARE,LOW,ES,Ableton Live,Consulta sobre actualizar Ableton Live,"Hola, uso Ableton Live y estaba pensando en quizás actualizarlo. ¿Podrían decirme si hay una versión más nueva que valga la pena?"
SOFTWARE,LOW,EN,Margin Trading,Request for Future Invoice Update – Margin Trading Software,"Dear Support Team, I hope you're doing well. For future reference, can you please reflect my company name ‘Alpha Investments Inc.’ on my upcoming invoices instead of the current one? There's no immediate rush—just for our future records. Best regards."
SOFTWARE,HIGH,EN,LinkedIn Ads,URGENT: LinkedIn Ads Hacked - Immediate Assistance Needed,Our LinkedIn Ads account seems hacked; all campaigns disrupted. Immediate help required!
ACCOUNTING,MEDIUM,FR,Customer Inquiries::Data Privacy Inquiries,Demande sur la vie privée des données,"Bonjour, comment pouvez-vous garantir la protection de mes données?"
SOFTWARE,LOW,EN,Yield Farming,Request for Minor Amendments in Next Billing,"Hello team, I've been extremely satisfied with the Yield Farming software so far. However, I would like to request a minor change in my next invoice. Could you please update my billing information to reflect my new business name, 'AgriTech Solutions'? I appreciate your assistance. Additionally, I might need a small update for my software, is there an option for that? No rush! Thank you!"
SOFTWARE,MEDIUM,FR,WhatsApp Desktop,Mise à jour nécessaire pour WhatsApp Desktop,"""Bonjour, je souhaiterais obtenir une mise à jour pour la version de WhatsApp Desktop que je possède actuellement. J'ai remarqué un bug mineur où les contacts ne s'affichent pas correctement. Pourriez-vous m'indiquer comment procéder à la mise à jour ? Merci de votre aide par avance. Bien cordialement,"""
SOFTWARE,MEDIUM,DE,XSplit Broadcaster,Problem mit XSplit Broadcaster,Könntet Ihr bitte meine XSplit Broadcaster-Software auf die neueste Version updaten? Ich habe einen Bug bemerkt und brauche Hilfe. Danke!
HARDWARE,MEDIUM,FR,Externe SSD,Problème avec le SSD externe - Erreur fréquente,"Bonjour, j'utilise un disque SSD externe et j'ai souvent une erreur qui empêche l'appareil de se connecter correctement à mon ordinateur. J'ai essayé plusieurs câbles et ports, mais rien ne fonctionne. Pourriez-vous m'aider à résoudre ce problème technique ? D'avance merci pour votre aide et réactivité"
ACCOUNTING,MEDIUM,ES,Employee Inquiries::Accounting::Accounting Policies,Solicitud de actualización de política contable,"Hola equipo de contabilidad, Necesito una actualización de nuestras políticas contables para cumplir con las nuevas regulaciones. Podrían enviarme el documento detallado al respecto lo antes posible? Gracias, Carlos"
ACCOUNTING,MEDIUM,EN,Customer Inquiries::Cancellations,Query: Request for Service Cancellation and Refund,"Dear Support Team,I would like to cancel my subscription for the Pro Plan effective immediately. Please confirm the cancellation and initiate a refund of the remaining amount for this month. My account number is 154728695 and I am quite disappointed with the current service."
ACCOUNTING,HIGH,DE,Customer Inquiries::Update Requests,Dringendes Sicherheitsupdate für Abrechnungssoftware benötigt!,"Sehr geehrtes Support-Team,
unser Abrechnungssystem wurde möglicherweise kompromittiert und wir benötigen dringend ein Sicherheitsupdate, um diese Sicherheitslücke zu schließen. Benutzer können derzeit nicht auf ihre Rechnungen zugreifen und unser gesamter Kontenfluss ist ins Stocken geraten. Bitte kümmern Sie sich so schnell wie möglich darum.
Mit freundlichen Grüßen,
Kundennummer: 45323ABC"
SOFTWARE,HIGH,ES,SaltStack 3003,Problema urgente con SaltStack 3003: Software no responde,La herramienta SaltStack 3003 no funciona y necesito usarla urgentemente para un proyecto crítico. ¡Ayuda por favor!
ACCOUNTING,MEDIUM,ES,Customer Inquiries::Update Requests,Actualización de software: solicitud de factura,"Hola equipo, me gustaría solicitar una actualización para la nueva versión del software que utilizamos en nuestra empresa. Además, he notado un pequeño fallo que me gustaría que revisaran. Por último, necesitamos una nueva factura para este mes. Por favor, respóndanme lo antes posible. Gracias."
SOFTWARE,HIGH,EN,Private Equity Software,Critical: Can't access Private Equity Software – Urgent Assistance Needed,"Dear Support Team, since this morning, my Private Equity Software isn’t launching. It crashes every time I try to open the app, and I’m unable to manage crucial tasks for clients. I've tried reinstalling, but no success. Kindly prioritize and assist immediately. Thank you."
SOFTWARE,LOW,EN,QGIS,Request for possible QGIS update and minor invoice adjustment,"Hello Support Team, I'm using QGIS and I'm considering an update. Also, is it possible to update the company name on my next invoice? Whenever convenient. Regards, John Doe"
SOFTWARE,HIGH,ES,Nuendo,URGENTE: Nuendo no se abre después de la actualización,"Después de la última actualización, Nuendo no se abre y necesito urgentemente usar el programa."
SOFTWARE,LOW,EN,Angel Investing,Inquiry About Minor Change in Upcoming Invoice,"Dear Support Team,

I hope this message finds you well. I am writing regarding the software Angel Investing. I am wondering if it would be possible to change the company name on my next invoice to 'Angel Ventures Ltd.' Also, I'd like to request an upgrade offer, though I'm in no rush for this.

Thank you for your excellent service!

Best regards,
Oliver"
HARDWARE,HIGH,DE,Thermal Paste,Dringend! Thermal Paste: PC startet nicht mehr,"Ich habe meinen PC aufgerüstet und Thermal Paste verwendet, jetzt startet er nicht mehr. Ich benötige den PC dringend für meine Arbeit und habe schon alles ausprobiert. Bitte schnellstmöglich Hilfe, es ist für ein wichtiges Projekt!"
